Format Version,1.21,Take Name,Take 2021-02-24 11.08.39 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-02-24 11.08.39 AM,Total Frames in Take,1337,Total Exported Frames,1337,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:104,Unlabeled:104,Unlabeled:104
,,"8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068"
,,Position,Position,Position
Frame,Time,X,Y,Z
468,3.900000,2.640059,0.802612,0.754196
469,3.908333,2.639214,0.803900,0.753046
470,3.916667,2.638313,0.805372,0.751929
471,3.925000,2.637336,0.806808,0.750875
472,3.933333,2.636318,0.808201,0.749902
473,3.941667,2.635241,0.809537,0.748943
474,3.950000,2.634119,0.810826,0.748005
475,3.958333,2.633041,0.812289,0.747090
476,3.966667,2.632027,0.813794,0.746156
477,3.975000,2.631121,0.815344,0.745114
478,3.983333,2.630279,0.816982,0.744068
479,3.991667,2.629510,0.818714,0.742951
480,4.000000,2.628669,0.820354,0.741771
481,4.008333,2.627798,0.821878,0.740556
482,4.016667,2.626836,0.823424,0.739344
483,4.025000,2.625715,0.825132,0.738192
484,4.033333,2.624558,0.826870,0.737055
485,4.041667,2.623403,0.828680,0.735870
486,4.050000,2.622237,0.830554,0.734602
487,4.058333,2.621089,0.832407,0.733322
488,4.066667,2.619907,0.834025,0.731890
489,4.075000,2.618711,0.835514,0.730427
490,4.083333,2.617449,0.836969,0.728976
491,4.091667,2.616159,0.838324,0.727521
492,4.100000,2.614720,0.839592,0.726115
493,4.108333,2.613167,0.840714,0.724703
494,4.116667,2.611608,0.841779,0.723212
495,4.125000,2.609912,0.842777,0.721667
496,4.133333,2.608155,0.843748,0.720041
497,4.141667,2.606332,0.844732,0.718394
498,4.150000,2.604351,0.845740,0.716783
499,4.158333,2.602344,0.846705,0.715179
500,4.166667,2.600227,0.847656,0.713511
501,4.175000,2.598087,0.848530,0.711825
502,4.183333,2.595832,0.849238,0.710167
503,4.191667,2.593433,0.849749,0.708472
504,4.200000,2.591064,0.850201,0.706808
505,4.208333,2.588637,0.850525,0.705114
506,4.216667,2.586276,0.850774,0.703395
507,4.225000,2.583962,0.851203,0.701698
508,4.233333,2.581590,0.851540,0.699881
509,4.241667,2.579251,0.851941,0.698078
510,4.250000,2.576942,0.852278,0.696231
511,4.258333,2.574564,0.852366,0.694355
512,4.266667,2.572147,0.852414,0.692555
513,4.275000,2.569765,0.852506,0.690686
514,4.283333,2.567880,0.851026,0.687404
515,4.291667,2.564804,0.852340,0.686865
516,4.300000,2.562320,0.852346,0.684999
517,4.308333,2.559828,0.852361,0.683095
518,4.316667,2.557319,0.852241,0.681125
519,4.325000,2.554817,0.852091,0.679192
520,4.333333,2.552366,0.852013,0.677279
521,4.341667,2.549909,0.851746,0.675263
